Test Virus,Reference Virus,Titre
A/Oslo/3391/03,A/Sendai/4952/02,*
A/Dakar/11/02,A/Sendai/4952/02,160
A/Lyon/476/03,A/Sendai/4952/02,160
A/Netherlands/17/03,A/Sendai/4952/02,*
A/Firenze/10/03,A/Sendai/4952/02,320
A/Berlin/35/03,A/Sendai/4952/02,1280
A/Parma/18/03,A/Sendai/4952/02,*
A/Moscow/48/03,A/Sendai/4952/02,*
A/Geneva/3767/03,A/Sendai/4952/02,*
A/Dakar/10/03,A/Sendai/4952/02,640
A/St. Petersburg/122/03,A/Sendai/4952/02,*
A/Denmark/44/03,A/Sendai/4952/02,320
A/Stockholm/10/03,A/Sendai/4952/02,*
A/Iceland/22/03,A/Sendai/4952/02,*
A/Finland/300/03,A/Sendai/4952/02,*
A/Barcelona/364/03,A/Sendai/4952/02,*
A/Madagascar/69863/03,A/Sendai/4952/02,*
A/Israel/3650/03,A/Sendai/4952/02,*
A/Johannesburg/28/03,A/Sendai/4952/02,*
A/Hong Kong/1227/03,A/Sendai/4952/02,640
A/Panama/2007/99,A/Finland/170/03,80
A/New York/55/01,A/Finland/170/03,160
A/Hong Kong/1550/02,A/Finland/170/03,80
A/Egypt/130/02,A/Finland/170/03,160
A/Fujian/411/02,A/Finland/170/03,320
A/Sendai/4952/02,A/Finland/170/03,320
A/Finland/170/03,A/Finland/170/03,320
A/Netherlands/369/02,A/Finland/170/03,*
A/Austria/79807/03,A/Finland/170/03,80
A/Rome/3/03,A/Finland/170/03,*
A/Prague/34/03,A/Finland/170/03,*
A/Slovakia/252/03,A/Finland/170/03,*
A/Latvia/1506/03,A/Finland/170/03,*
A/Perugia/7/03,A/Finland/170/03,<40
A/Hannover/94/03,A/Finland/170/03,*
A/Belgrade/1061/03,A/Finland/170/03,80
A/Geneva/3340/03,A/Finland/170/03,<40
A/Greece/109/03,A/Finland/170/03,*
A/Oslo/3391/03,A/Finland/170/03,40
A/Dakar/11/02,A/Finland/170/03,<40
A/Lyon/476/03,A/Finland/170/03,*
