"short_name","MDS1","MDS2"
"A/Athens/108/2011",-0.404704754538021,-0.883173387839943
"A/Aubenas/2399/2017",3.94372877806104,-0.918434953314346
"A/Austria/1102969/2018",0.786062164788304,-1.22301982584465
"A/Austria/1113943/2018",0.207097041276879,-0.828946464757794
"A/Austria/1115342/2019",1.2348292534969,-1.9296701848238
"A/Austria/1121450/2019",1.11287952100704,-0.163171754558958
"A/Austria/1121455/2019",-0.287478053138497,0.114894554113191
"A/Austria/1129536/2019",0.690246656977866,0.453843369649509
"A/Austria/1496862/2022",-1.27580012839916,0.743567868872578
"A/Austria/1499572/2022",0.286218079793472,0.143085219820274
"A/Austria/1503342/2022",-0.842800267297421,0.70145032050635
"A/Austria/1505762/2022",-0.847646480765107,0.423762905632011
"A/Austria/1505788/2022",-2.57743433910245,-2.53543247873558
"A/Austria/1507395/2022",-1.10872832030397,0.511281413059265
"A/Austria/1508277/2022",-1.58806491134547,-3.13106238668813
"A/Austria/1514532/2022",0.286596752961987,0.144173712867304
"A/Austria/1572440/2022",0.730991397545844,-1.65738365500511
"A/Austria/1573799/2022",-0.759569278404962,1.02770904095521
"A/Austria/1574200/2022",0.853623735181615,-0.527809333805799
"A/Austria/655242/2012",0.497984258621113,-0.0382909171678039
"A/Austria/709778/2012",-5.52730086446943,-0.349137952055167
"A/Austria/710638/2012",-3.70111730548811,0.932935174793314
"A/Austria/892085/2015",2.91120180975634,-0.196602457943196
"A/Austria/956928/2016",3.24978652154727,-0.432781019948385
"A/Avila/15/2019",0.296974129219059,-2.95584309212495
"A/Aydin/3060/2016",1.36346382919267,4.11692168414748
"A/Bacau/89197/2012",0.706115987486793,-0.834120160354996
"A/Baden-Wurttemberg/87/2014",2.64938667342571,-1.30851468470165
"A/Baden-Wurttemberg/87/2019",0.584303479760375,-2.21206843474019
"A/Baleares/14038/2013",-0.270053329879763,0.961644841680318
"A/Baleares/1521/2013",0.834019883413092,0.480867118766795
"A/Baleares/RR6848/2010",-0.526638925201106,0.679894393412097
"A/Bangladesh/4005/2020",0.971918882486361,-0.713187233643306
"A/Bangui/172/2024",0.230235275482662,-0.172561701284177
"A/BanskaBystrica/83/2024",0.967517914043933,-0.0704220892262953
"A/Barka/72126850/2021",-1.87369103182177,0.636954291508602
"A/Barnaul/139/2017",3.77471686170639,-0.673978357823529
"A/Bawshar/72212056/2022",1.68823233463737,0.19270870235627
"A/Bayern/10/2023",-0.920233157510182,1.40889361531946
"A/Bayern/113/2019",2.27566568332822,-0.360617740470869
"A/Bayern/6/2023",0.525375228447774,1.16580276767824
"A/Bayern/7/2022",-0.947146987219987,0.992462423792965
"A/Behoririka/355/2015",3.67258662254447,-1.05244290805631
"A/Beijing-Chaoyang/12841/2018",2.38360423750141,-1.28251946754778
"A/Beijing-Xicheng/13100/2014",2.91953196065391,0.106515194027745
"A/Beijing/2019-15554/2018",2.34979458261723,-0.982172011626722
"A/Belgium/106/2023",0.502011028822842,0.712720617023237
"A/Belgium/13G1308/2013",0.8016261726592,0.519956527547464
