main_matrix_name,aux_matrix_name,rmse
OVEJ920104.csv,CSEM940101.csv,0.8271
OVEJ920104.csv,WEIL970101.csv,0.8308
OVEJ920104.csv,GONG920101.csv,0.8299
OVEJ920104.csv,NIEK910101.csv,0.8301
OVEJ920104.csv,JOND920103.csv,0.8288
OVEJ920104.csv,KOSJ950109.csv,0.8309
OVEJ920104.csv,DOSZ010104.csv,0.8321
OVEJ920104.csv,AZAE970102.csv,0.8304
OVEJ920104.csv,LUTR910103.csv,0.8304
OVEJ920104.csv,KOSJ950108.csv,0.8290
OVEJ920104.csv,KOSJ950105.csv,0.8317
OVEJ920104.csv,RUSR970101.csv,0.8295
OVEJ920104.csv,NIEK910102.csv,0.8298
OVEJ920104.csv,OVEJ920101.csv,0.8316
OVEJ920104.csv,HENS920104.csv,0.8319
OVEJ920104.csv,OGAK980101.csv,0.8270
OVEJ920104.csv,MEHP950102.csv,0.8285
OVEJ920104.csv,LUTR910101.csv,0.8313
OVEJ920104.csv,MUET010101.csv,0.8285
OVEJ920104.csv,DAYM780301.csv,0.8308
OVEJ920104.csv,BENS940103.csv,0.8308
OVEJ920104.csv,TUDE900101.csv,0.8279
OVEJ920104.csv,RIER950101.csv,0.8284
OVEJ920104.csv,KOSJ950110.csv,0.8312
OVEJ920104.csv,LUTR910102.csv,0.8273
OVEJ920104.csv,KOSJ950106.csv,0.8310
OVEJ920104.csv,KOSJ950111.csv,0.8301
OVEJ920104.csv,MIYT790101.csv,0.8293
OVEJ920104.csv,RISJ880101.csv,0.8274
OVEJ920104.csv,WEIL970102.csv,0.8297
OVEJ920104.csv,MUET020102.csv,0.8307
OVEJ920104.csv,KOSJ950104.csv,0.8314
OVEJ920104.csv,KOSJ950103.csv,0.8306
OVEJ920104.csv,DOSZ010103.csv,0.8326
OVEJ920104.csv,QUIB020101.csv,0.8310
OVEJ920104.csv,BLAJ010101.csv,0.8307
OVEJ920104.csv,MIYS930101.csv,0.8277
OVEJ920104.csv,KOSJ950114.csv,0.8292
OVEJ920104.csv,HENS920102.csv,0.8325
OVEJ920104.csv,ALTS910101.csv,0.8305
OVEJ920104.csv,LINK010101.csv,0.8323
OVEJ920104.csv,KAPO950101.csv,0.8299
OVEJ920104.csv,LUTR910109.csv,0.8296
OVEJ920104.csv,AZAE970101.csv,0.8292
OVEJ920104.csv,DAYM780302.csv,0.8305
OVEJ920104.csv,OVEJ920103.csv,0.8264
OVEJ920104.csv,KOLA920101.csv,0.8305
OVEJ920104.csv,KOSJ950112.csv,0.8310
OVEJ920104.csv,LUTR910107.csv,0.8314
OVEJ920104.csv,KOSJ950107.csv,0.8305
OVEJ920104.csv,KANM000101.csv,0.8300
OVEJ920104.csv,OVEJ920102.csv,0.8284
OVEJ920104.csv,KOSJ950115.csv,0.8295
OVEJ920104.csv,LUTR910108.csv,0.8304
