Test Virus,Reference Virus,Distance
A/Alabama/5/2010,A/Antananarivo/3487/2012,0.0
A/Alabama/5/2010,A/Antananarivo/3575/2012,0.0
A/Alabama/5/2010,A/Antananarivo/3635/2012,0.0
A/Alabama/5/2010,A/Antananarivo/3892/2012,0.0
A/Albania/289813/2022,A/Antananarivo/50000/2024,0.0
A/Albania/289813/2022,A/Antananarivo/84305/2023,0.0
A/Albania/289813/2022,A/Antsirabe/01583/2024,0.0
A/Albania/289813/2022,A/Antsirabe/02539/2023,0.0
A/Albania/289813/2022,A/Antsirabe/02735/2023,0.0
A/Alabama/5/2010,A/Antsirabe/3733/2012,0.0
A/Alabama/5/2010,A/Antsirabe/3734/2012,0.0
A/Albania/289813/2022,A/Antsohihy/03201/2023,0.0
A/Almaty/2958/2013,A/Aragon/1548/2013,0.0
A/Almaty/2958/2013,A/Aragon/266/2014,0.0
A/Almaty/2958/2013,A/Aragon/271/2014,0.0
A/Albania/289813/2022,A/Argentina/1025/2024,0.0
A/Albania/289813/2022,A/Argentina/1065/2024,0.0
A/Albania/289813/2022,A/Argentina/1071/2024,0.0
A/Albania/289813/2022,A/Argentina/1077/2024,0.0
A/Albania/289813/2022,A/Argentina/1080/2024,0.0
A/Albania/289813/2022,A/Argentina/1084/2024,0.0
A/Albania/289813/2022,A/Argentina/1094/2024,0.0
A/Albania/289813/2022,A/Argentina/1114/2024,0.0
A/Albania/289813/2022,A/Argentina/1130/2024,0.0
A/Albania/289813/2022,A/Argentina/1151/2024,0.0
A/Albania/289813/2022,A/Argentina/1163/2024,0.0
A/Albania/289813/2022,A/Argentina/1166/2024,0.0
A/Albania/289813/2022,A/Argentina/1167/2024,0.0
A/Albania/289813/2022,A/Argentina/1173/2024,0.0
A/Albania/289813/2022,A/Argentina/1178/2024,0.0
A/Albania/289813/2022,A/Argentina/1182/2024,0.0
A/Albania/289813/2022,A/Argentina/1187/2024,0.0
A/Albania/289813/2022,A/Argentina/1211/2024,0.0
A/Albania/289813/2022,A/Argentina/1215/2024,0.0
A/Albania/289813/2022,A/Argentina/1219/2024,0.0
A/Albania/289813/2022,A/Argentina/1221/2024,0.0
A/Albania/289813/2022,A/Argentina/1225/2024,0.0
A/Albania/289813/2022,A/Argentina/1231/2024,0.0
A/Albania/289813/2022,A/Argentina/1244/2024,0.0
A/Albania/289813/2022,A/Argentina/1256/2024,0.0
A/Albania/289813/2022,A/Argentina/1279/2024,0.0
A/Albania/289813/2022,A/Argentina/1290/2024,0.0
A/Alabama/5/2010,A/Argentina/28342/2010,0.0
A/Alabama/5/2010,A/Argentina/28367/2010,0.0
A/Alabama/5/2010,A/Argentina/28370/2010,0.0
A/Alabama/5/2010,A/Argentina/28373/2010,0.0
A/Alabama/5/2010,A/Argentina/28378/2010,0.0
A/Albania/289813/2022,A/Argentina/986/2024,0.0
A/Albania/289813/2022,A/Argentina/996/2024,0.0
A/Alabama/5/2010,A/Arges/126697/2012,0.0
A/Albania/289813/2022,A/As Suwaiq/7234643/2023,0.0
A/Alabama/5/2010,A/Astrakhan/1/2013,0.0
A/Anhui/1238/2005,A/Astrakhan/103/2006,0.0
A/Annecy/1138/2005,A/Astrakhan/103/2006,2.999999999999999
A/Anhui/1238/2005,A/Astrakhan/150/2006,0.0
A/Annecy/1138/2005,A/Astrakhan/150/2006,2.999999999999999
A/Anhui/1238/2005,A/Astrakhan/172/2006,0.0
A/Annecy/1138/2005,A/Astrakhan/172/2006,2.0
A/Alabama/5/2010,A/Astrakhan/2/2013,0.0
A/Anhui/1238/2005,A/Astrakhan/319/2006,0.0
A/Annecy/1138/2005,A/Astrakhan/319/2006,2.0
A/Alabama/5/2010,A/Astrakhan/5/2013,0.0
A/Alabama/5/2010,A/Astrakhan/65/2012,0.0
A/Alabama/5/2010,A/Athens GR/14/2013,0.0
A/Alabama/5/2010,A/Athens/108/2010,0.0
A/Alabama/5/2010,A/Athens/108/2011,0.0
A/Acores PT/11/2013,A/Athens/112/2012,1.3625700793847066
A/Acores/SU43/2012,A/Athens/112/2012,1.1699250014423122
A/Adana/11/2014,A/Athens/112/2012,2.169925001442312
A/Adana/111/2014,A/Athens/112/2012,1.1699250014423122
A/Adana/116/2014,A/Athens/112/2012,1.1699250014423122
A/Adana/117/2014,A/Athens/112/2012,1.1699250014423122
A/Adana/199/2014,A/Athens/112/2012,1.1699250014423122
A/Adana/223/2014,A/Athens/112/2012,1.1699250014423122
A/Adana/234/2014,A/Athens/112/2012,2.169925001442312
A/Adana/363/2014,A/Athens/112/2012,1.1699250014423122
A/Adana/4168/2013,A/Athens/112/2012,1.1699250014423122
A/Adana/4211/2013,A/Athens/112/2012,1.1699250014423122
A/Adana/66/2014,A/Athens/112/2012,1.1699250014423122
A/Adana/9/2014,A/Athens/112/2012,1.1699250014423122
A/Adiyaman/230/2014,A/Athens/112/2012,0.16992500144231215
A/Aix-en-Provence/2846/2013,A/Athens/112/2012,1.1699250014423122
A/Aktobe/2935/2013,A/Athens/112/2012,3.1699250014423113
A/Aktobe/2941/2013,A/Athens/112/2012,1.1699250014423122
A/Alabama/5/2010,A/Athens/112/2012,2.976153258045631
A/Algeria/277/2013,A/Athens/112/2012,1.1699250014423122
A/Algiers/107/2012,A/Athens/112/2012,2.169925001442312
A/Algiers/120/2012,A/Athens/112/2012,1.1699250014423122
A/Almaty/2871/2013,A/Athens/112/2012,2.169925001442312
A/Almaty/2878/2013,A/Athens/112/2012,1.1699250014423122
A/Almaty/2880/2013,A/Athens/112/2012,1.1699250014423122
A/Almaty/2901/2013,A/Athens/112/2012,2.169925001442312
A/Almaty/2926/2013,A/Athens/112/2012,1.1699250014423122
A/Almaty/2927/2013,A/Athens/112/2012,1.1699250014423122
A/Almaty/2929/2013,A/Athens/112/2012,1.1699250014423122
A/Almaty/2944/2013,A/Athens/112/2012,2.169925001442312
A/Almaty/2946/2013,A/Athens/112/2012,2.169925001442312
A/Almaty/2952/2013,A/Athens/112/2012,2.169925001442312
A/Almaty/2955/2013,A/Athens/112/2012,2.169925001442312
A/Almaty/2956/2013,A/Athens/112/2012,2.169925001442312
A/Almaty/2958/2013,A/Athens/112/2012,0.486228547135795
A/American Samoa/4786/2013,A/Athens/112/2012,0.0
A/Ankara/1110/2013,A/Athens/112/2012,1.1699250014423122
A/Ankara/1324/2013,A/Athens/112/2012,0.16992500144231215
A/Ankara/1356/2013,A/Athens/112/2012,2.169925001442312
A/Ankara/1366/2013,A/Athens/112/2012,2.169925001442312
A/Ankara/1373/2013,A/Athens/112/2012,2.169925001442312
A/Ankara/1396/2013,A/Athens/112/2012,2.169925001442312
A/Ankara/1404/2013,A/Athens/112/2012,2.169925001442312
A/Ankara/1410/2013,A/Athens/112/2012,2.169925001442312
A/Ankara/221/2014,A/Athens/112/2012,1.1699250014423122
A/Ankara/23/2014,A/Athens/112/2012,1.1699250014423122
A/Ankara/266/2014,A/Athens/112/2012,2.169925001442312
A/Ankara/34/2014,A/Athens/112/2012,2.169925001442312
A/Ankara/3653/2013,A/Athens/112/2012,0.16992500144231215
A/Ankara/3727/2013,A/Athens/112/2012,0.16992500144231215
A/Ankara/3804/2013,A/Athens/112/2012,0.16992500144231215
A/Ankara/3805/2013,A/Athens/112/2012,1.1699250014423122
A/Ankara/3851/2013,A/Athens/112/2012,1.1699250014423122
A/Ankara/3879/2013,A/Athens/112/2012,1.1699250014423122
A/Ankara/3937/2013,A/Athens/112/2012,3.1699250014423113
A/Ankara/4084/2013,A/Athens/112/2012,2.169925001442312
A/Ankara/4142/2013,A/Athens/112/2012,1.1699250014423122
A/Ankara/4187/2013,A/Athens/112/2012,2.169925001442312
A/Ankara/4227/2013,A/Athens/112/2012,2.169925001442312
A/Ankara/4236/2013,A/Athens/112/2012,2.169925001442312
A/Ankara/4247/2013,A/Athens/112/2012,1.1699250014423122
A/Ankara/5/2014,A/Athens/112/2012,1.1699250014423122
A/Annecy/2806/2012,A/Athens/112/2012,1.1699250014423122
A/Annecy/2809/2013,A/Athens/112/2012,2.169925001442312
A/Antalya/1083/2013,A/Athens/112/2012,3.1699250014423113
A/Antalya/251/2013,A/Athens/112/2012,2.169925001442312
A/Antananarivo/3487/2012,A/Athens/112/2012,1.1699250014423122
A/Antananarivo/3575/2012,A/Athens/112/2012,2.169925001442312
A/Antananarivo/3635/2012,A/Athens/112/2012,0.16992500144231215
A/Antananarivo/3669/2012,A/Athens/112/2012,1.1699250014423122
A/Antananarivo/3892/2012,A/Athens/112/2012,2.169925001442312
A/Antananarivo/4906/2012,A/Athens/112/2012,3.1699250014423113
A/Antsirabe/3733/2012,A/Athens/112/2012,1.1699250014423122
A/Antsirabe/3734/2012,A/Athens/112/2012,2.169925001442312
A/Aragon/1548/2013,A/Athens/112/2012,0.16992500144231215
A/Aragon/266/2014,A/Athens/112/2012,1.1699250014423122
A/Aragon/271/2014,A/Athens/112/2012,0.16992500144231215
A/Arges/126697/2012,A/Athens/112/2012,2.169925001442312
A/Astrakhan/1/2013,A/Athens/112/2012,1.1699250014423122
A/Astrakhan/2/2013,A/Athens/112/2012,3.1699250014423113
A/Astrakhan/5/2013,A/Athens/112/2012,1.1699250014423122
A/Athens GR/14/2013,A/Athens/112/2012,2.169925001442312
A/Athens/112/2012,A/Athens/112/2012,0.9296106721086019
A/Alabama/5/2010,A/Athens/GR112/2012,1.6485276294986217
A/Alsace/889/2012,A/Athens/GR112/2012,0.34340782229781475
A/Athens/GR112/2012,A/Athens/GR112/2012,0.0
A/Alabama/5/2010,A/Athens/GR125/2012,0.0
A/Alabama/5/2010,A/Athens/GR131/2012,0.0
A/Alabama/5/2010,A/Athens/GR134/2012,0.0
A/Alabama/5/2010,A/Athens/GR165/2012,0.0
A/Alabama/5/2010,A/Athens/GR166/2012,0.0
A/Alabama/5/2010,A/Athens/GR173/2012,0.0
A/Alabama/5/2010,A/Athens/GR193/2012,0.0
A/Alabama/5/2010,A/Athens/GR208/2012,0.0
A/Alabama/5/2010,A/Athens/GR209/2012,0.0
A/Alabama/5/2010,A/Athens/GR237/2012,0.0
A/Alabama/5/2010,A/Athens/GR248/2012,0.0
A/Alabama/5/2010,A/Attecoube/GR1099/2011,0.0
A/Alabama/5/2010,A/Attecoube/GR1103/2011,0.0
A/Alabama/5/2010,A/Attecoube/GR1241/2011,0.0
A/Alabama/5/2010,A/Attecoube/GR741/2012,3.0
A/Athens/112/2012,A/Attecoube/GR741/2012,0.0
A/Alabama/5/2010,A/Austria/653679/2012,0.0
A/Alabama/5/2010,A/Austria/654044/2012,0.0
A/Alabama/5/2010,A/Austria/654591/2012,0.0
A/Alabama/5/2010,A/Austria/655242/2012,0.0
A/Alabama/5/2010,A/Austria/705367/2012,0.5849625007211561
A/Athens/112/2012,A/Austria/705367/2012,0.0
A/Alabama/5/2010,A/Austria/709778/2012,0.5849625007211561
A/Athens/112/2012,A/Austria/709778/2012,0.0
A/Alabama/5/2010,A/Austria/710638/2012,0.3219280948873635
A/Athens/112/2012,A/Austria/710638/2012,0.0
A/Alabama/5/2010,A/Austria/716774/2013,2.999999999999999
A/Athens/112/2012,A/Austria/716774/2013,0.0
A/Alabama/5/2010,A/Austria/726749/2013,2.999999999999999
A/Athens/112/2012,A/Austria/726749/2013,0.0
A/Alabama/5/2010,A/Bacau/88448/2012,0.0
A/Alabama/5/2010,A/Bacau/89197/2012,0.0
A/Alabama/5/2010,A/Baden-Wurttemberg/1/2012,0.0
A/Anhui/1238/2005,A/Baden-Wurttemberg/10/2006,0.0
A/Annecy/1138/2005,A/Baden-Wurttemberg/10/2006,0.0
A/Anhui/1238/2005,A/Baden-Wurttemberg/11/2006,0.0
A/Annecy/1138/2005,A/Baden-Wurttemberg/11/2006,0.0
A/Anhui/1238/2005,A/Baden-Wurttemberg/12/2006,0.0
A/Annecy/1138/2005,A/Baden-Wurttemberg/12/2006,0.0
A/Anhui/1238/2005,A/Baden-Wurttemberg/14/2006,0.0
A/Annecy/1138/2005,A/Baden-Wurttemberg/14/2006,1.0
